correct_answer;question;wrong_answer
"la Gran Bretagna";"Con il blocco continentale Napoleone si proponeva di isolare commercialmente:";"la Francia|la Prussia|l'Impero Ottomano"
"Nel XVIII secolo";"In quale secolo si affermò in Europa il cosiddetto dispotismo illuminato?";"Nel XIII secolo|Nel XIX secolo|Nel XX secolo"
"Nei primi decenni del XVI secolo";"Cronologicamente, in quale periodo si colloca il movimento della Riforma protestante avviata da Martin Lutero?";"Nel XIV secolo|Nel XVIII secolo|Nella seconda metà del IX secolo"
"nel luglio 1776";"La Dichiarazione d'indipendenza americana venne firmata:";"nel luglio 1789|nell'agosto 1848|nell'aprile 1603"
"Agli ultimi decenni del XVIII secolo";"A quale periodo risale l'inizio della Rivoluzione industriale inglese?";"Alla fine del XVI secolo|Alla fine del XVII secolo|Alla seconda metà del XIX secolo"
"Nel XIII secolo";"In quale epoca si collocano i viaggi del mercante veneziano Marco Polo?";"Al principio del XX secolo|Nel XVII secolo|Tra il XVI e il XVII secolo"
"le classi popolari";"La Comune di Parigi, nel 1792, rappresentava:";"i nobili|il clero|il re e i suoi cortigiani"
"sul Mare del Nord";"La lega anseatica o Hansa, fu un'associazione commerciale tra città marittime che, particolarmente a partire dal XIV secolo, esercitò la sua influenza: ";"sul Mar della Sonda|sull'area danubiana|sull'Oceano Indiano"
"del Concilio di Trento";"A metà del Cinquecento, una vera e propria riorganizzazione della Chiesa cattolica fu compiuta ad opera: ";"del Concilio di Nicea|dell'Editto di Nantes|dell'Editto di Worms"
"dai lanzichenecchi di Carlo V";"Il sacco di Roma del 1527 fu portato a termine:";"dai mercenari dei Savoia|dalle guardie scelte persiane|dalle guardie svizzere del Papa"
"nella seconda metà del XV secolo";"Lorenzo de' Medici svolse la propria attività politica e culturale:";"nel XIII secolo|nel XVIII secolo|nell'XI secolo"
"la Dichiarazione dei diritti dell'uomo e del cittadino";"Il 26 agosto 1789 venne approvata:";"la Costituzione della Comune di Parigi|la decapitazione del re Luigi XVI|la messa al bando dei giacobini"
"dopo il regime del Terrore";"Nell'ambito della Rivoluzione francese, il periodo detto Termidoro si colloca cronologicamente:";"prima del 1789|prima della morte del sovrano Luigi XVI|prima della morte di Maria Antonietta"
"l'opposizione reazionaria al governo dei giacobini";"Nel corso della Rivoluzione francese, il termine Terrore bianco indica:";"il governo di Napoleone durante i cento giorni|la polizia segreta rivoluzionaria|una tecnica militare"
"i rivoluzionari moderati";"Durante la Rivoluzione francese, i girondini erano:";"i poliziotti municipali|i rivoluzionari estremisti|i sostenitori del re"
"Al XIV secolo";"A quale secolo risale l'inizio della guerra dei cent'anni tra Francia e Inghilterra?";"Al XIX secolo|Al XVII secolo|Al XVIII secolo"
1545-1563;"A quale periodo risale il Concilio di Trento?";1765-1782|1815-1818|1963-1965
"Una prigione per detenuti politici";"Cos'era la Bastiglia prima della Rivoluzione francese?";"La casa di Robespierre|La sede del governo provvisorio|La sede dell'Arcivescovado"
"La presa della Bastiglia";"Quale importante evento si verificò in Francia nel luglio 1789?";"La cacciata della famiglia reale dal palazzo di Versailles|L'incoronazione di Napoleone|L'uccisione di Robespierre"
"recinzioni di terre che una volta appartenevano alla comunità di villaggio";"Le enclosures, che si diffusero in Inghilterra nel corso del Settecento, erano:";"associazioni di lavoratori agricoli|contratti agricoli che prevedevano la divisione a metà del raccolto tra contadini e proprietari terrieri|i salari con cui venivano pagati i contadini stagionali"
Diciottesimo;"In quale secolo nacque Napoleone Bonaparte?";Diciannovesimo|Quattordicesimo|Quindicesimo
"Il terzo stato";"Quale ceto sociale era più numeroso all'interno degli Stati generali, alla vigilia della Rivoluzione francese?";"Il clero|Il quarto stato|La nobiltà"
"Dichiarazione dei diritti dell'uomo e del cittadino";"Il 26 agosto 1789 venne approvata la:";"Costituzione della Comune di Parigi|decapitazione del re Luigi XVI|distribuzione delle terre nazionalizzate ai contadini"
ghigliottinato;"Il 28 luglio 1794, Maximilien Robespierre fu:";"eletto re|esiliato|nominato Presidente della Repubblica francese"
antispagnola;"Nel 1647, Masaniello guidò a Napoli una rivolta popolare:";"appoggiata dai Turchi|contro il Piemonte dei Savoia|finanziata dai mercanti olandesi"
"la capitale di un regno arabo";"Fino alla fine del XV secolo, Granada fu:";"il capoluogo di un territorio pontificio|la capitale di una satrapia ottomana|la più importante città dei possedimenti spagnoli nelle Americhe"
"A cavallo tra XVIII e XIX secolo";"A livello cronologico, quando si collocano le imprese militari di Napoleone Bonaparte in Italia?";"Agli inizi del XVII secolo|Nella prima metà del XVIII secolo|Nella seconda metà del XIX secolo"
"alla fine del XVIII secolo";"La Dichiarazione d'indipendenza degli Stati Uniti risale:";"alla fine del X secolo|alla metà del IX secolo|alla prima metà del XIII secolo"
"Il governo rivoluzionario di Parigi sorto al termine della guerra franco-prussiana";"In riferimento alla storia di Francia, cos'era la Comune?";"Il carcere di Parigi in epoca napoleonica|La corte di giustizia militare durante il Terrore|Una pubblicazione girondina"
Robespierre;"Quale dei seguenti personaggi occupò un ruolo di primissimo piano nella fase del Terrore durante la Rivoluzione francese?";"Bonaparte|Lafayette|Luigi XV"
1789;"La Rivoluzione francese scoppiò nel:";1860|1879|1978
"dal Mediterraneo all'Europa del Nord";"Nei secoli XV-XVI il fulcro economico e culturale del mondo occidentale si spostò:";"dal Mediterraneo all'Oceano Atlantico|dall'Europa del Nord al Mediterraneo|dall'Oceano Atlantico a quello Pacifico"
"di salute pubblica";"Nel 1793, Robespierre era a capo del Comitato:";"dei poveri|della cultura|legalitario"
"i borghesi moderati";"Durante la Rivoluzione francese, nella fase successiva a quella del Terrore, presero il potere i termidoriani, che erano: ";"gli uomini di Napoleone|i clericali reazionari|i nobili fedeli al re"
"i protestanti ugonotti";"Nel 1572, le vittime del massacro della notte di San Bartolomeo furono:";"i frati francescani|i navigatori portoghesi|le guardie svizzere"
"Nel 1815";"Quando si colloca il periodo dei cento giorni nell'ambito dell'età napoleonica?";"Durante la presa della Bastiglia|Nel 1799|Prima dell'incoronazione di Napoleone a imperatore"
"I giacobini";"Durante la Rivoluzione francese, quale tra i seguenti gruppi politici fu guidato dal rivoluzionario Robespierre? ";"Gli anarchici|I lealisti|I termidoriani"
"Nella seconda metà del XV secolo";"A livello cronologico, quando si colloca l'attività politica e culturale di Lorenzo de' Medici?";"Nel XIII secolo|Nel XVIII secolo|Nella prima metà del XVII secolo"
"Al 1776";"A quale anno risale la Dichiarazione d'indipendenza degli Stati Uniti?";"Al 1235|Al 848|Al 980"
XIV;"La guerra dei cent'anni tra Francia e Inghilterra risale al secolo:";X|XIX|XX
1453;"La guerra dei cent'anni finì nel:";1051|1237|1711
"I discendenti dei coloni olandesi";"Chi erano i Boeri stanziati in Sudafrica?";"Gli oppositori al regime degli orangisti|Un gruppo etnico asiatico|Una popolazione indigena africana"
1787;"La Costituzione americana venne emanata nel:";1750|1815|1846
americana;"Nel 1776, fu pronunciata la Dichiarazione d'indipendenza:";francese|inglese|olandese
1815;"La sconfitta napoleonica di Waterloo avvenne nell'anno:";1789|1802|1857
"Dopo il regime del Terrore";"Quando si colloca il periodo detto Termidoro nell'ambito della Rivoluzione francese?";"Dopo l'incoronazione di Napoleone|Prima della decapitazione di Luigi XVI|Prima della decapitazione di Maria Antonietta"
"i rivoluzionari moderati";"I girondini, durante la Rivoluzione francese, erano:";"gli alleati dei controrivoluzionari|i militari di carriera|i sostenitori dela monarchia"
Germania;"Quale dei seguenti Paesi fu maggiormente devastato dalla guerra dei trent'anni che insanguinò l'Europa dal 1618 al 1648?";Grecia|Irlanda|Portogallo
"L'opposizione reazionaria al governo dei giacobini";"Nel corso della Rivoluzione francese, cos'era il Terrore bianco?";"Il governo di Napoleone durante i cento giorni|La rivolta dei contadini|Le ronde effettuate dai contadini cattolici integralisti"
"i contadini";"Nel 1793, la rivolta che scoppiò in Vandea contro la Rivoluzione francese ebbe come protagonisti:";"i mercenari|i militari di carriera|i nobili"
"I contadini";"Chi diede vita, nel 1793, alla rivolta che scoppiò in Vandea contro la Rivoluzione francese?";"Gli aristocratici|I clericali|I militari di carriera"
"alla metà del XVI secolo";"Il Concilio di Trento risale:";"al finire del XIX secolo|alla metà del XX secolo|all'inizio del XIX secolo"
"Tutti i sudditi francesi non appartenenti alla nobiltà e al clero";"Chi costituiva il Terzo Stato?";"Gli appartenenti alla nobiltà di spada|I proprietari terrieri|Tutti i borghesi"
"un movimento ideologico e culturale, che si diffuse nell'Europa del Settecento";"L'Illuminismo fu:";"un movimento anglicano precursore del luddismo|una corrente pittorica seicentesca celebre per la particolare luminosità dei dipint i|una setta ereticale spagnola del tardo Cinquecento"
"nell'Inghilterra del XVIII secolo";"La Rivoluzione industriale ha origine:";"nella Francia del XVII secolo|nella Russia del XX secolo|nell'America del XIX secolo"
inglese;"Nel 1588, l'Invencible Armada spagnola fu pesantemente sconfitta dalla flotta:";francese|italiana|russa
repubblica;"Dopo la condanna a morte del re, nel 1793 la Francia divenne una:";"monarchia assoluta|monarchia costituzionale|repubblica federale"
Olanda;"Nel 1579, fu fondata la Repubblica delle Province Unite, chiamata anche:";Algeria|Svezia|Ungheria
"Napoleone Bonaparte";"Chi costituì la Repubblica cisalpina in Italia, nel 1797?";"Horatio Nelson|Maria Teresa d'Austria|Papa Pio VI"
"L'organo di governo supremo composto da cinque persone, a capo della Repubblica";"Durante la Rivoluzione francese, cos'era il Direttorio?";"Il carcere di Parigi predisposto per i nobili e i conservatori|Il luogo in cui si rifugiavano i rivoluzionari giacobini durante il Terrore bianco|La sede del monarca francese in esilio"
"Pietro Badoglio";"Quale uomo politico italiano fu nominato capo del Governo nel 1943?";"Antonio Segni|Giuseppe Saragat|Palmiro Togliatti"
"negli anni Trenta del Novecento";"L'invasione italiana dell'Etiopia è avvenuta:";"negli anni Cinquanta del Novecento|negli anni Dieci del Novecento|negli anni Novanta dell'Ottocento"
"fu attaccata dall'Italia";"Nell'ottobre 1940 la Grecia:";"dichiarò la propria neutralità|fu attaccata dalla Francia|si alleò alle potenze dell'Asse"
"Mussolini prese il potere in Italia nel 1922";"Con la ""marcia su Roma"":";"I partigiani liberarono la capitale dall'occupazione nazista|Pio IX riconquistò Roma dopo la repubblica del 1849|Vittorio Emanuele II conquistò Roma capitale"
"Carlo Azeglio Ciampi";"Chi è stato eletto presidente della Repubblica italiana dopo Oscar Luigi Scalfaro?";"Francesco Cossiga|Sandro Pertini|Silvio Berlusconi"
Piave;"Dopo Caporetto, la resistenza dell'esercito italiano si attestò sul fiume:";Po|Tevere|Volturno
"vittoria mutilata";"La mancata concessione all'Italia di Fiume e della Dalmazia, al termine della prima guerra mondiale, destò un tale scontento tra gli italiani che si parlò di: ";"seconda Caporetto|tradimento americano|tradimento inglese"
"Nel 1963";"In quale anno si verificò il disastro del Vajont?";"Nel 1890|Nel 1920|Nel 1994"
