correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
105;50;;;;"Luca vuole comprare una scrivania che costa CENTOCINQUE euro";options_4;;150|1005|501
39;50;;;;"Gianna vuole comprare una torta che costa TRENTANOVE euro";options_4;;309|390|3,90
30+14;50;;;;"La maestra chiede di sommare 3 decine e 14 unità.
Con quale operazione puoi rispondere alla maestra?";options_3;;3+14|3+10+14
8;50;;;;"Alle nove del mattino un termometro segnava <b>18</b> gradi.
Alle dodici del mattino un termometro segnava <b>26</b> gradi.
Di quanto è aumentata la temperatura?";options_4;;4|26|6
7;50;;;;"il maestro Francesco ha 5 schede. Quando arriva la maestra Viola glie ne dà altre 2 
Quante schede avrà in tutto il maestro Francesco?";text;;
2;50;;;;"Roberta ha 5 caramelle di queste ne regala 3 alla sorella Caterina. 
Quante caramelle rimangono a Roberta?";text;;
4;50;;;;"Nel giardino ci sono 8 alberi. Durante l'autunno 4 alberi vengono tagliati perché sono secchi.
Quanti alberi sono rimasti?";text;;
3;50;;;;"Marco ha raccolto 6 mele di queste ne dà 3 al fratello Roberto. 
Quante mele rimangono a Marco?";text;;
6;50;;;;"Simone ha 2 maglioni. Se gliene regalano altri 4, quanti maglioni ha ora Simone?";text;;
6;50;;;;"Veronica ha 1 € e Andrea ne ha 5€. 
Quanti soldi avranno in totale?";text;;
4;50;;;;"Giovanna per la ricreazione ha portato un panino per ognuna delle sue 7 amiche e 1 per la sua maestra. Di tutti i panini però, 4 si sono rovinati nella borsa. Quanti panini sono rimasti?";text;;
15;50;;;;"Giulio ha 8 macchinine, il fratellino Marco ne ha 7. Quante macchinine hanno in tutto? ";text;;
6;50;;;;"Gioele ha 4 panini, Riccardo ne ha 2. Quanti panini ci sono in tutto? ";text;;
14;50;;;;"Monica e Lorenzo vogliono andare al cinema. Il costo di un biglietto è di 7 euro. Quanto costano 2 biglietti?";text;;
1;50;;;;"Giulia ha 5 cagnolini di peluche, Sara ne ha 6. Quanti cagnolini ha di differenza Sara da Giulia? ";text;;
17;50;;;;"Marco ha 8 biscotti, la sua sorellina Susanna ne ha 9. Quanti biscotti hanno in tutto? ";text;;
13;50;;;;"Alberto ha 9 pinguini giocattolo e il suo amico Giovanni gliene regala 4. Quanti pinguini ha Alberto in tutto? ";text;;
20;50;;;;"Io ho 10 medaglie e Lorenzo me ne porta altre 10. Quante medaglie ho in tutto? ";text;;
17;50;;;;"Marco ha 12 figurine e Luca gliene regala altre 5. Quante figurine ha in tutto Marco? ";text;;
6;50;;;;"Laura ha 10 lecca-lecca, ne dà 4 al suo amico Lorenzo. Quanti lecca-lecca ha ora Laura? ";text;;
1;50;;;;"Giacomo ha 6 palloni. Tommaso ne ha 7. Quanti palloni ha in più Tommaso? ";text;;
18;50;;;;"Mattia ha 20 banane e Federico gliene ruba 2. Quante banane rimangono a Mattia? ";text;;
18;50;;;;"Leonardo ha 9 figurine. Gabriele ne ha altre 9. Quante figurine hanno in tutto? ";text;;
17;50;;;;"Nel mio giardino ci sono 8 fiori gialli, 3 rossi e 6 arancioni. Quanti fiori sono in tutto? ";text;;
